epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.8425,1.07906,5.54966,0.0046,0.76998,0.61383,0.75667,0.60289,0.86863,5.08736,0.00556,0.000660661,0.000660661,0.000660661
2,127.422,1.1284,2.93648,0.00489,0.81354,0.72561,0.8232,0.64706,0.98176,1.59796,0.00676,0.00130543,0.00130543,0.00130543
3,174.371,1.1187,1.7596,0.00502,0.81274,0.76333,0.82594,0.6149,1.0619,0.84468,0.00781,0.00192819,0.00192819,0.00192819
4,221.269,1.12696,1.22875,0.00502,0.88707,0.82942,0.88843,0.68392,0.95234,0.64369,0.00644,0.001901,0.001901,0.001901
5,268.04,1.13094,0.98592,0.00535,0.90348,0.8183,0.9018,0.66146,1.05526,0.64671,0.00717,0.001868,0.001868,0.001868
6,315.256,1.08181,0.84881,0.00499,0.83909,0.84222,0.88376,0.65391,1.03467,0.65786,0.00688,0.001835,0.001835,0.001835
7,363.238,1.07155,0.77713,0.00468,0.90753,0.83706,0.90801,0.67561,0.93395,0.58769,0.00632,0.001802,0.001802,0.001802
8,410.053,1.05556,0.75857,0.00478,0.86356,0.85075,0.90042,0.67235,1.00065,0.60299,0.00673,0.001769,0.001769,0.001769
9,457.192,1.06184,0.69427,0.00477,0.90034,0.87207,0.91582,0.69501,0.99118,0.5537,0.00661,0.001736,0.001736,0.001736
10,502.634,1.05201,0.66463,0.00472,0.90364,0.85714,0.91789,0.72181,0.89073,0.53027,0.00593,0.001703,0.001703,0.001703
11,549.513,1.04141,0.66566,0.00467,0.87379,0.85617,0.90732,0.72899,0.85841,0.52543,0.00585,0.00167,0.00167,0.00167
12,595.389,1.01207,0.62826,0.00447,0.92272,0.89101,0.93091,0.74843,0.8323,0.47022,0.00573,0.001637,0.001637,0.001637
13,641.331,1.02581,0.59312,0.00449,0.92008,0.85075,0.93253,0.7296,0.85662,0.48923,0.00587,0.001604,0.001604,0.001604
14,687.681,1.00069,0.5887,0.00449,0.91948,0.8678,0.92707,0.71767,0.91465,0.48035,0.00631,0.001571,0.001571,0.001571
15,733.858,1.00942,0.58315,0.00449,0.94207,0.8668,0.93047,0.73108,0.88845,0.4783,0.00605,0.001538,0.001538,0.001538
16,780.871,0.98098,0.52977,0.0044,0.90642,0.86354,0.92773,0.71813,0.89023,0.47021,0.00604,0.001505,0.001505,0.001505
17,827.094,0.99012,0.56142,0.00442,0.90788,0.86154,0.93316,0.73626,0.88311,0.47067,0.00599,0.001472,0.001472,0.001472
18,873.65,0.99188,0.54072,0.00431,0.93984,0.87207,0.92825,0.71115,0.95139,0.58145,0.0062,0.001439,0.001439,0.001439
19,918.401,0.98562,0.51051,0.00442,0.93479,0.86567,0.92993,0.71981,0.92719,0.46917,0.00598,0.001406,0.001406,0.001406
20,966.033,0.96341,0.51558,0.00445,0.93195,0.87598,0.94259,0.75023,0.83228,0.45975,0.00543,0.001373,0.001373,0.001373
21,1013.53,0.9701,0.5033,0.0042,0.9332,0.89126,0.94661,0.72984,0.88433,0.44123,0.0061,0.00134,0.00134,0.00134
22,1059.84,0.95657,0.51711,0.00431,0.9282,0.91045,0.95064,0.75325,0.85307,0.40342,0.00543,0.001307,0.001307,0.001307
23,1106.57,0.93774,0.48369,0.00424,0.91247,0.88914,0.93784,0.73816,0.86494,0.46976,0.0056,0.001274,0.001274,0.001274
24,1150.08,0.94862,0.4778,0.00413,0.90726,0.92111,0.94459,0.73134,0.89934,0.4312,0.0064,0.001241,0.001241,0.001241
25,1195.22,0.96433,0.50786,0.00422,0.92823,0.89126,0.94636,0.74474,0.87018,0.44414,0.00565,0.001208,0.001208,0.001208
26,1242.26,0.91265,0.47165,0.00408,0.92878,0.90405,0.94856,0.75348,0.84428,0.43488,0.00563,0.001175,0.001175,0.001175
27,1288.15,0.88945,0.43332,0.0039,0.9586,0.91045,0.95451,0.74452,0.87468,0.40111,0.00569,0.001142,0.001142,0.001142
